화면영역(UI 계층),노출 우선순위,데이터 속성(Backend 구조),대분류(Category),DB 컬럼(필드)명,데이터 타입,목표vs실적 비교 구조,설명 및 화면 맵핑 예제
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,1. 식별정보,missionId (프로젝트명),String,단일 구조,더케이트윈타워 매입 프로젝트 (최상단 대형 타이틀)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,1. 식별정보,assetName (자산명),String,단일 구조,The-K 트윈타워
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,2. 자산특성,assetClass (용도),Enum,단일 구조,오피스/데이터센터 등 (타이틀 하단 배지)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,2. 자산특성,address (위치/주소),String,단일 구조,서울 종로구 율곡로 6
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,2. 자산특성,grossArea (연면적),Number,단일 구조,25000평
Section 1(최상단/Hero),기본 노출(Default),② Dynamic 지표,3. 메인 재무,aum (총 사업규모/원),Number,Pair (Target_UW vs Actual),Target: 2600억 | Actual: 2600억 (메인 핵심 KPI)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,4. 조직망,director (총괄임원),String,단일 구조,정영진 (우측 상단 담당자 썸네일)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,4. 조직망,pm (실무담당),String,단일 구조,장민호 (우측 상단 담당자 썸네일)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,4. 조직망,department (본부),String,단일 구조,투자/사업센터
Section 1(최상단/Hero),기본 노출(Default),③ Context 텍스트,5. 리스크,redFlagsStatus (위기경보),Object,단일 구조,[Yellow] 마우스 오버 시 위험요인 노출
Section 2(상단 대시보드),기본 노출(Default),③ Context 텍스트,1. 가치사슬,valueChainStep (1~10단계),Enum,단일 구조,"현재 8.개발 추진 (프로그레스 바 맵핑)"
Section 2(상단 대시보드),기본 노출(Default),② Dynamic 지표,1. 가치사슬,progressRate (진척률),Number,Pair (Target_UW vs Actual),Target: 70% | Actual: 65% (동적 게이지)
Section 2(상단 대시보드),기본 노출(Default),③ Context 텍스트,1. 가치사슬,handoverStatus (사내 이관 상태),Enum,단일 구조,"'프론트에서 미들 이관 심사 중' (현재 잡고 있는지 여부 판별 버튼)"
Section 2(상단 대시보드),기본 노출(Default),② Dynamic 지표,2. 재무지표,irr (수익률),Float,Pair (Target_UW vs Actual),Target: 8.5% | Actual: 7.2% (증감 차트)
Section 2(상단 대시보드),기본 노출(Default),② Dynamic 지표,2. 재무지표,basePurchasePrice (매입가),Number,Pair (Target_UW vs Actual),Target: 1920억 | Actual: 1950억
Section 2(상단 대시보드),기본 노출(Default),② Dynamic 지표,3. 일정요약,completionDate (준공일),Date,Pair (Target_UW vs Actual),Target: 25-08-30 | Actual: 25-10-30 (지연 붉은색)
Section 2(상단 대시보드),기본 노출(Default),③ Context 텍스트,4. 의사결정,decisionContextLog (투심위로그),Object,단일 구조,"[23-11] 금리 급등으로 부득이 선순위 LTV 축소결정록 표출"
Section 3(중단 탭/모듈),탭 활성화(Expand),② Dynamic 지표,1. 자본 스택,equity_amount (에쿼티),Number,Pair (Target_UW vs Actual),Target: 600억 | Actual: 600억 (파이차트)
Section 3(중단 탭/모듈),탭 활성화(Expand),② Dynamic 지표,1. 자본 스택,loan_amount (대출),Number,Pair (Target_UW vs Actual),Target: 2000억 | Actual: 2000억 (파이차트)
Section 3(중단 탭/모듈),탭 활성화(Expand),② Dynamic 지표,1. 자본 스택,ltv (담보대출비율),Float,Pair (Target_UW vs Actual),Target: 65% | Actual: 65.5%
